title,releaseTitle,group,releaseType,Release Date,Duration (ms)
≒JOY,≒JOY,≒JOY,single,2022-07-03,286433
笑って フラジール,笑って フラジール,≒JOY,single,2022-09-28,235213
超孤独ライオン,はにかみショート <Special Edition>,≒JOY,single,2022-11-23,265880
スイートシックスティーン,スイートシックスティーン,≒JOY,single,2023-02-22,209266
今日も君の夢を見たんだ,天使は何処へ <Special Edition>,≒JOY,single,2023-04-12,268626
大空、ビュンと,大空、ビュンと,≒JOY,single,2023-07-19,231973
その先はイグザルト,想わせぶりっこ <Special Edition>,≒JOY,single,2023-09-06,283160
Overture,きっと、絶対、絶対 (Special Edition),≒JOY,album,2024-01-17,91813
無謀人,きっと、絶対、絶対 (Special Edition),≒JOY,album,2024-01-17,193386
きっと、青い,きっと、絶対、絶対 (Special Edition),≒JOY,album,2024-01-17,232040
体育館ディスコ,体育館ディスコ,≒JOY,single,2024-06-12,226293
夢見る♡アイドル,体育館ディスコ,≒JOY,single,2024-06-12,241773
ネバギバ！生きろ,体育館ディスコ,≒JOY,single,2024-06-12,294906
初恋シンデレラ,初恋シンデレラ,≒JOY,single,2024-10-16,276693
ピーチティーとピーチパイ,初恋シンデレラ,≒JOY,single,2024-10-16,225040
だだだ、だって。,初恋シンデレラ,≒JOY,single,2024-10-16,250146
ブルーハワイレモン,ブルーハワイレモン,≒JOY,single,2025-06-11,257920
♡3ヶ月♡,ブルーハワイレモン,≒JOY,single,2025-06-11,232520
0120お助け屋さん,ブルーハワイレモン,≒JOY,single,2025-06-11,181800
いま、月は満ちる,いま、月は満ちる,≒JOY,single,2025-08-17,282748
今、恋をしている,今、恋をしている,≒JOY,single,2025-08-27,245602
ニアジョイ音頭,ニアジョイ音頭,≒JOY,single,2025-10-15,207900
The rock is you!,The rock is you!,≒JOY,single,2026-02-12,227200
電話番号教えて！,電話番号教えて！,≒JOY,single,2026-02-18,221933
愛が痛かった,電話番号教えて！,≒JOY,single,2026-02-18,212120
「僕たちの歌」,「僕たちの歌」,≒JOY,single,2026-04-03,195271
ノンフィクション,ノンフィクション,≒JOY,single,2026-04-03,253961
≠ME,≠ME,≠ME,single,2019-08-04,257000
「君の音だったんだ」,ズルいよ ズルいね,≠ME,single,2019-10-30,243946
「君と僕の歌」,CAMEO,≠ME,single,2020-07-08,275053
空白の花,空白の花,≠ME,single,2020-07-08,264333
P.I.C.,"青春""サブリミナル""",≠ME,single,2020-11-25,224720
Overture,超特急 ≠ME行き Special Edition,≠ME,album,2021-04-07,90826
クルクルかき氷,超特急 ≠ME行き Special Edition,≠ME,album,2021-04-07,241706
自分賛歌,超特急 ≠ME行き Special Edition,≠ME,album,2021-04-07,247493
ポニーテール キュルン,超特急 ≠ME行き Special Edition,≠ME,album,2021-04-07,272440
てゆーか、みるてんって何？,超特急 ≠ME行き Special Edition,≠ME,album,2021-04-07,228453
秘密インシデント,超特急 ≠ME行き Special Edition,≠ME,album,2021-04-07,269746
君はこの夏、恋をする,君はこの夏、恋をする Special Edition,≠ME,single,2021-07-14,260079
ミラクル！,君はこの夏、恋をする Special Edition,≠ME,single,2021-07-14,252773
薄明光線,君はこの夏、恋をする Special Edition,≠ME,single,2021-07-14,252880
超絶ヒロイン,君はこの夏、恋をする Special Edition,≠ME,single,2021-07-14,273080
まほろばアスタリスク,まほろばアスタリスク Special Edition,≠ME,single,2021-11-10,242440
好きだ!!!,まほろばアスタリスク Special Edition,≠ME,single,2021-11-10,254133
ワタシアクセント,まほろばアスタリスク Special Edition,≠ME,single,2021-11-10,231813
誰もいない森の奥で一本の木が倒れたら音はするか?,まほろばアスタリスク Special Edition,≠ME,single,2021-11-10,216773
チョコレートメランコリー,チョコレートメランコリー<Special Edition>,≠ME,single,2022-02-16,232720
君はスパークル,チョコレートメランコリー<Special Edition>,≠ME,single,2022-02-16,254400
虹が架かる瞬間,チョコレートメランコリー<Special Edition>,≠ME,single,2022-02-16,289546
