Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Record Label,Tempo
ヒロインズ,ナツマトペ(Special Edition),=LOVE,2023-07-19,249920,55,Sony Music Labels Inc.,178.083
ラブロケ,ナツマトペ(Special Edition),=LOVE,2023-07-19,207813,39,Sony Music Labels Inc.,171.968
ラストノートしか知らない,ラストノートしか知らない,=LOVE,2023-10-19,312866,46,Sony Music Labels Inc.,107.977
「ドライブ　デート　都内」,ラストノートしか知らない,=LOVE,2023-11-29,246613,51,Sony Music Labels Inc.,180.152
狂想カタストロフィ,ラストノートしか知らない,=LOVE,2023-11-29,285386,48,Sony Music Labels Inc.,135.014
どこが好きか言って,ラストノートしか知らない,=LOVE,2023-11-29,223906,48,Sony Music Labels Inc.,96.091
宝物はグリーン,宝物はグリーン,=LOVE,2023-11-29,276666,36,Sony Music Labels Inc.,143.941
呪って呪って,呪って呪って,=LOVE,2024-03-06,203946,44,Sony Music Labels Inc.,200.122
誰にもバレずに,呪って呪って,=LOVE,2024-03-06,281106,49,Sony Music Labels Inc.,129.931
君の第3ボタン,呪って呪って,=LOVE,2024-03-06,246226,50,Sony Music Labels Inc.,161.879
絶対アイドル辞めないで,絶対アイドル辞めないで,=LOVE,2024-07-31,233800,38,Sony Music Labels Inc.,165.134
仲直りシュークリーム,絶対アイドル辞めないで,=LOVE,2024-07-31,241693,57,Sony Music Labels Inc.,171.989
海とレモンティー,絶対アイドル辞めないで,=LOVE,2024-07-31,260920,52,Sony Music Labels Inc.,150.002
とくべチュ、して,とくべチュ、して ／ 恋人以上、好き未満,=LOVE,2025-02-26,239013,49,Sony Music Labels Inc.,147.008
恋人以上、好き未満 - Full Size,とくべチュ、して ／ 恋人以上、好き未満,=LOVE,2025-02-26,269440,44,Sony Music Labels Inc.,161.141
超特急逃走中,とくべチュ、して ／ 恋人以上、好き未満,=LOVE,2025-02-26,229560,64,Sony Music Labels Inc.,177.964
内緒バナシ,内緒バナシ,=LOVE,2025-08-22,238246,56,Sony Music Labels Inc.,99.005
ラブソングに襲われる,ラブソングに襲われる,=LOVE,2025-10-08,218320,46,Sony Music Labels Inc.,133.986
Queens,ラブソングに襲われる,=LOVE,2025-10-08,177160,51,Sony Music Labels Inc.,131.977
木漏れ日メゾフォルテ,ラブソングに襲われる,=LOVE,2025-10-08,196533,59,Sony Music Labels Inc.,172.897
劇薬中毒,劇薬中毒,=LOVE,2026-04-01,276813,50,Sony Music Labels Inc.,131.966
モラトリアム,劇薬中毒,=LOVE,2026-04-01,266626,57,Sony Music Labels Inc.,131.978
お姫様の作り方,劇薬中毒,=LOVE,2026-04-01,233413,61,Sony Music Labels Inc.,170.046
トリプルデート,トリプルデート,イコノイジョイ,2022-07-20,243400,42,Sony Music Labels Inc.,175.911
アマガミガール,電話番号教えて！,≒JOY;DJ ALICE,2026-02-18,265480,42,Sony Music Labels Inc.,143.962
≒JOY,≒JOY,≒JOY,2022-07-03,286433,31,Sony Music Labels Inc.,177.058
笑って フラジール,笑って フラジール,≒JOY,2022-09-28,235213,29,Sony Music Labels Inc.,177.889
超孤独ライオン,はにかみショート <Special Edition>,≒JOY,2022-11-23,265880,32,KING RECORDS,159.863
スイートシックスティーン,スイートシックスティーン,≒JOY,2023-02-22,209266,29,Sony Music Labels Inc.,179.966
今日も君の夢を見たんだ,天使は何処へ <Special Edition>,≒JOY,2023-04-12,268626,26,KING RECORDS,186.076
大空、ビュンと,大空、ビュンと,≒JOY,2023-07-19,231973,29,Sony Music Labels Inc.,97.072
その先はイグザルト,想わせぶりっこ <Special Edition>,≒JOY,2023-09-06,283160,32,KING RECORDS,136.007
Overture,きっと、絶対、絶対 (Special Edition),≒JOY,2024-01-17,91813,30,Sony Music Labels Inc.,159.934
無謀人,きっと、絶対、絶対 (Special Edition),≒JOY,2024-01-17,193386,31,Sony Music Labels Inc.,117.99
きっと、青い,きっと、絶対、絶対 (Special Edition),≒JOY,2024-01-17,232040,34,Sony Music Labels Inc.,99.98
体育館ディスコ,体育館ディスコ,≒JOY,2024-06-12,226293,26,Sony Music Labels Inc.,140.008
夢見る♡アイドル,体育館ディスコ,≒JOY,2024-06-12,241773,43,Sony Music Labels Inc.,180.021
ネバギバ！生きろ,体育館ディスコ,≒JOY,2024-06-12,294906,35,Sony Music Labels Inc.,175.059
初恋シンデレラ,初恋シンデレラ,≒JOY,2024-10-16,276693,33,Sony Music Labels Inc.,164.047
ピーチティーとピーチパイ,初恋シンデレラ,≒JOY,2024-10-16,225040,46,Sony Music Labels Inc.,178.021
だだだ、だって。,初恋シンデレラ,≒JOY,2024-10-16,250146,40,Sony Music Labels Inc.,173.022
ブルーハワイレモン,ブルーハワイレモン,≒JOY,2025-06-11,257920,31,Sony Music Labels Inc.,132.012
♡3ヶ月♡,ブルーハワイレモン,≒JOY,2025-06-11,232520,41,Sony Music Labels Inc.,130.023
0120お助け屋さん,ブルーハワイレモン,≒JOY,2025-06-11,181800,38,Sony Music Labels Inc.,195.022
いま、月は満ちる,いま、月は満ちる,≒JOY,2025-08-17,282748,45,Sony Music Labels Inc.,161.995
今、恋をしている,今、恋をしている,≒JOY,2025-08-27,245602,43,Sony Music Labels Inc.,95
ニアジョイ音頭,ニアジョイ音頭,≒JOY,2025-10-15,207900,39,Sony Music Labels Inc.,175.128
The rock is you!,The rock is you!,≒JOY,2026-02-12,227200,37,Sony Music Labels Inc.,130.026
電話番号教えて！,電話番号教えて！,≒JOY,2026-02-18,221933,35,Sony Music Labels Inc.,133.009
愛が痛かった,電話番号教えて！,≒JOY,2026-02-18,212120,43,Sony Music Labels Inc.,135.005
「僕たちの歌」,「僕たちの歌」,≒JOY,2026-04-03,195271,40,Sony Music Labels Inc.,95.062
ノンフィクション,ノンフィクション,≒JOY,2026-04-03,253961,49,Sony Music Labels Inc.,176.962
≠ME,≠ME,≠ME,2019-08-04,257000,44,Sony Music Labels Inc.,162.832
「君の音だったんだ」,ズルいよ ズルいね,≠ME,2019-10-30,243946,32,Sony Music Labels Inc.,91.492
「君と僕の歌」,CAMEO,≠ME,2020-07-08,275053,28,Sony Music Labels Inc.,94.033
空白の花,空白の花,≠ME,2020-07-08,264333,42,Sony Music Labels Inc.,79.988
P.I.C.,"青春""サブリミナル""",≠ME,2020-11-25,224720,27,Sony Music Labels Inc.,131.027
Overture,超特急 ≠ME行き Special Edition,≠ME,2021-04-07,90826,29,KING RECORDS,151.002
クルクルかき氷,超特急 ≠ME行き Special Edition,≠ME,2021-04-07,241706,31,KING RECORDS,181.886
自分賛歌,超特急 ≠ME行き Special Edition,≠ME,2021-04-07,247493,40,KING RECORDS,140.067
ポニーテール キュルン,超特急 ≠ME行き Special Edition,≠ME,2021-04-07,272440,33,KING RECORDS,97.027
てゆーか、みるてんって何？,超特急 ≠ME行き Special Edition,≠ME,2021-04-07,228453,38,KING RECORDS,180.101
秘密インシデント,超特急 ≠ME行き Special Edition,≠ME,2021-04-07,269746,40,KING RECORDS,160.011
君はこの夏、恋をする,君はこの夏、恋をする Special Edition,≠ME,2021-07-14,260079,36,KING RECORDS,88.044
ミラクル！,君はこの夏、恋をする Special Edition,≠ME,2021-07-14,252773,30,KING RECORDS,134.041
薄明光線,君はこの夏、恋をする Special Edition,≠ME,2021-07-14,252880,32,KING RECORDS,170.894
超絶ヒロイン,君はこの夏、恋をする Special Edition,≠ME,2021-07-14,273080,32,KING RECORDS,163.005
まほろばアスタリスク,まほろばアスタリスク Special Edition,≠ME,2021-11-10,242440,40,KING RECORDS,96.026
好きだ!!!,まほろばアスタリスク Special Edition,≠ME,2021-11-10,254133,32,KING RECORDS,173.917
ワタシアクセント,まほろばアスタリスク Special Edition,≠ME,2021-11-10,231813,33,KING RECORDS,133.041
誰もいない森の奥で一本の木が倒れたら音はするか?,まほろばアスタリスク Special Edition,≠ME,2021-11-10,216773,35,KING RECORDS,171.989
